Location ID,Location,Date,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
37033,Caswell County,2021-02-28,6.09,123,2.84,3.25
37033,Caswell County,2021-03-31,4.45,84,0.52,3.93
37033,Caswell County,2021-04-30,1.7,13,-1.77,3.47
37033,Caswell County,2021-05-31,1.54,7,-2.18,3.72
37033,Caswell County,2021-06-30,2.6,38,-1.32,3.92
37033,Caswell County,2021-07-31,5.06,92,0.6,4.46
37033,Caswell County,2021-08-31,4.27,72,-0.08,4.35
37033,Caswell County,2021-09-30,2.86,53,-0.88,3.74
37033,Caswell County,2021-10-31,1.68,36,-1.31,2.99
37033,Caswell County,2021-11-30,0.22,1,-2.57,2.79
37033,Caswell County,2021-12-31,1.15,9,-2.19,3.34
37035,Catawba County,2021-01-31,3.64,65,-0.33,3.97
37035,Catawba County,2021-02-28,5.07,101,1.17,3.9
37035,Catawba County,2021-03-31,5.73,97,1.19,4.54
37035,Catawba County,2021-04-30,1.6,12,-1.98,3.58
37035,Catawba County,2021-05-31,2.6,33,-1.24,3.84
37035,Catawba County,2021-06-30,2.46,22,-1.83,4.29
37035,Catawba County,2021-07-31,4.57,75,-0.1,4.67
37035,Catawba County,2021-08-31,4.91,79,0.15,4.76
37035,Catawba County,2021-09-30,1.72,22,-2.07,3.79
37035,Catawba County,2021-10-31,2.81,61,-0.66,3.47
37035,Catawba County,2021-11-30,0.48,4,-2.51,2.99
37035,Catawba County,2021-12-31,1.04,4,-2.85,3.89
37037,Chatham County,2021-01-31,4.1,86,0.41,3.69
37037,Chatham County,2021-02-28,6.16,120,2.53,3.63
37037,Chatham County,2021-03-31,2.58,29,-1.42,4
37037,Chatham County,2021-04-30,1.21,8,-2.19,3.4
37037,Chatham County,2021-05-31,2.33,27,-1.55,3.88
37037,Chatham County,2021-06-30,6.1,106,1.91,4.19
37037,Chatham County,2021-07-31,5.88,86,0.61,5.27
37037,Chatham County,2021-08-31,3.8,52,-1.07,4.87
37037,Chatham County,2021-09-30,3.91,73,0.01,3.9
37037,Chatham County,2021-10-31,3,73,-0.04,3.04
37037,Chatham County,2021-11-30,0.73,12,-2.13,2.86
37037,Chatham County,2021-12-31,1.74,17,-1.68,3.42
37039,Cherokee County,2021-01-31,4,36,-1.94,5.94
37039,Cherokee County,2021-02-28,6.88,93,1.26,5.62
37039,Cherokee County,2021-03-31,10.33,118,3.96,6.37
37039,Cherokee County,2021-04-30,2.45,12,-2.49,4.94
37039,Cherokee County,2021-05-31,5.72,103,1.41,4.31
37039,Cherokee County,2021-06-30,5.73,84,0.69,5.04
37039,Cherokee County,2021-07-31,5.46,71,0.14,5.32
37039,Cherokee County,2021-08-31,13.01,126,8.03,4.98
37039,Cherokee County,2021-09-30,5.24,105,1.74,3.5
37039,Cherokee County,2021-10-31,5.19,99,1.66,3.53
37039,Cherokee County,2021-11-30,1.59,12,-2.71,4.3
37039,Cherokee County,2021-12-31,5.05,60,-0.63,5.68
37041,Chowan County,2021-01-31,5.48,112,1.64,3.84
37041,Chowan County,2021-02-28,7.76,126,4.04,3.72
37041,Chowan County,2021-03-31,2.34,17,-1.62,3.96
37041,Chowan County,2021-04-30,3.24,64,-0.22,3.46
37041,Chowan County,2021-05-31,3.84,65,-0.09,3.93
37041,Chowan County,2021-06-30,9.15,122,4.45,4.7
37041,Chowan County,2021-07-31,4.99,44,-1.28,6.27
37041,Chowan County,2021-08-31,8.03,104,2.47,5.56
37041,Chowan County,2021-09-30,2.04,24,-2.52,4.56
37041,Chowan County,2021-10-31,2.19,42,-0.95,3.14
37041,Chowan County,2021-11-30,1.34,21,-1.58,2.92
37041,Chowan County,2021-12-31,1.86,18,-1.64,3.5
37043,Clay County,2021-01-31,4.53,43,-1.56,6.09
37043,Clay County,2021-02-28,6.47,81,0.62,5.85
37043,Clay County,2021-03-31,10.67,117,4.16,6.51
37043,Clay County,2021-04-30,3.06,21,-1.97,5.03
37043,Clay County,2021-05-31,5.25,88,0.68,4.57
37043,Clay County,2021-06-30,5.1,70,0.04,5.06
37043,Clay County,2021-07-31,5.33,59,-0.26,5.59
37043,Clay County,2021-08-31,10.5,125,5.48,5.02
37043,Clay County,2021-09-30,5.15,104,1.59,3.56
37043,Clay County,2021-10-31,5.66,97,1.75,3.91
37043,Clay County,2021-11-30,1.47,12,-2.79,4.26
37043,Clay County,2021-12-31,4.65,47,-1.23,5.88
37045,Cleveland County,2021-01-31,3.66,66,-0.51,4.17
37045,Cleveland County,2021-02-28,5.07,94,0.91,4.16
37045,Cleveland County,2021-03-31,6.24,97,1.47,4.77
37045,Cleveland County,2021-04-30,2.01,24,-1.68,3.69
37045,Cleveland County,2021-05-31,2.38,30,-1.44,3.82
37045,Cleveland County,2021-06-30,2.55,26,-1.67,4.22
37045,Cleveland County,2021-07-31,5.19,86,0.36,4.83
37045,Cleveland County,2021-08-31,3.84,55,-1.09,4.93
37045,Cleveland County,2021-09-30,1.94,32,-1.82,3.76
37045,Cleveland County,2021-10-31,2.27,47,-1.35,3.62
37045,Cleveland County,2021-11-30,0.79,10,-2.32,3.11
37045,Cleveland County,2021-12-31,1.7,10,-2.43,4.13
37047,Columbus County,2021-01-31,5.47,113,1.88,3.59
37047,Columbus County,2021-02-28,7.5,124,3.83,3.67
37047,Columbus County,2021-03-31,1.74,15,-2.2,3.94
37047,Columbus County,2021-04-30,1.37,18,-1.68,3.05
37047,Columbus County,2021-05-31,1.31,11,-2.5,3.81
37047,Columbus County,2021-06-30,7.45,112,2.45,5
37047,Columbus County,2021-07-31,7.74,101,1.3,6.44
37047,Columbus County,2021-08-31,6.36,80,0.6,5.76
37047,Columbus County,2021-09-30,3.35,37,-1.94,5.29
37047,Columbus County,2021-10-31,1.65,39,-1.31,2.96
37047,Columbus County,2021-11-30,0.95,12,-1.71,2.66
37047,Columbus County,2021-12-31,2.39,42,-0.94,3.33
37049,Craven County,2021-01-31,4.96,95,1.04,3.92
37049,Craven County,2021-02-28,7.41,123,3.58,3.83
37049,Craven County,2021-03-31,3.18,44,-0.75,3.93
37049,Craven County,2021-04-30,1.31,13,-1.9,3.21
37049,Craven County,2021-05-31,2.14,17,-1.97,4.11
37049,Craven County,2021-06-30,10.74,124,5.61,5.13
37049,Craven County,2021-07-31,5.31,39,-1.83,7.14
37049,Craven County,2021-08-31,8.85,106,2.38,6.47
37049,Craven County,2021-09-30,2.69,24,-2.79,5.48
37049,Craven County,2021-10-31,2.59,60,-0.62,3.21
37049,Craven County,2021-11-30,0.85,11,-2.15,3
37049,Craven County,2021-12-31,3.13,49,-0.51,3.64
37051,Cumberland County,2021-01-31,5.84,120,2.38,3.46
37051,Cumberland County,2021-02-28,7,125,3.38,3.62
37051,Cumberland County,2021-03-31,2.87,40,-0.97,3.84
37051,Cumberland County,2021-04-30,1.43,14,-1.82,3.25
37051,Cumberland County,2021-05-31,2.01,18,-1.72,3.73
37051,Cumberland County,2021-06-30,6.63,112,1.95,4.68
37051,Cumberland County,2021-07-31,6.45,79,0.48,5.97
37051,Cumberland County,2021-08-31,2.74,11,-2.74,5.48
37051,Cumberland County,2021-09-30,3.17,54,-1.15,4.32
37051,Cumberland County,2021-10-31,1.64,42,-1.18,2.82
37051,Cumberland County,2021-11-30,0.71,7,-1.97,2.68
37051,Cumberland County,2021-12-31,2.67,53,-0.48,3.15
37053,Currituck County,2021-01-31,4.61,101,0.82,3.79
37053,Currituck County,2021-02-28,7,124,3.42,3.58
37053,Currituck County,2021-03-31,2.25,16,-1.55,3.8
37053,Currituck County,2021-04-30,2.94,56,-0.23,3.17
37053,Currituck County,2021-05-31,2.33,24,-1.26,3.59
37053,Currituck County,2021-06-30,7.8,120,3.51,4.29
37053,Currituck County,2021-07-31,4.28,30,-1.68,5.96
37053,Currituck County,2021-08-31,9.31,116,3.72,5.59
37053,Currituck County,2021-09-30,2.34,37,-1.91,4.25
37053,Currituck County,2021-10-31,2.66,57,-0.55,3.21
37053,Currituck County,2021-11-30,1.24,18,-1.7,2.94
37053,Currituck County,2021-12-31,1.75,16,-1.66,3.41
37055,Dare County,2021-01-31,4.74,95,0.71,4.03
37055,Dare County,2021-02-28,7.19,123,3.34,3.85
37055,Dare County,2021-03-31,2.41,23,-1.43,3.84
37055,Dare County,2021-04-30,2.3,34,-0.96,3.26
37055,Dare County,2021-05-31,2.6,38,-1.09,3.69
37055,Dare County,2021-06-30,7.54,112,2.89,4.65
37055,Dare County,2021-07-31,5.21,53,-0.83,6.04
37055,Dare County,2021-08-31,8.19,108,2.41,5.78
37055,Dare County,2021-09-30,1.76,15,-3.18,4.94
37055,Dare County,2021-10-31,4.2,82,0.54,3.66
37055,Dare County,2021-11-30,1.82,31,-1.58,3.4
37055,Dare County,2021-12-31,2.15,18,-1.75,3.9
37057,Davidson County,2021-01-31,3.4,67,-0.37,3.77
37057,Davidson County,2021-02-28,7.2,125,3.59,3.61
37057,Davidson County,2021-03-31,5.08,94,0.89,4.19
37057,Davidson County,2021-04-30,1.32,10,-2.2,3.52
37057,Davidson County,2021-05-31,2.34,24,-1.64,3.98
37057,Davidson County,2021-06-30,3.55,55,-0.53,4.08
37057,Davidson County,2021-07-31,4.95,72,0.14,4.81
37057,Davidson County,2021-08-31,3.54,56,-1.02,4.56
37057,Davidson County,2021-09-30,3.75,72,0.08,3.67
37057,Davidson County,2021-10-31,2.82,66,-0.34,3.16
37057,Davidson County,2021-11-30,0.67,11,-2.16,2.83
37057,Davidson County,2021-12-31,1.01,4,-2.56,3.57
37059,Davie County,2021-01-31,3.24,64,-0.43,3.67
37059,Davie County,2021-02-28,6.32,121,2.71,3.61
37059,Davie County,2021-03-31,5.33,100,1.06,4.27
37059,Davie County,2021-04-30,1.69,18,-1.77,3.46
37059,Davie County,2021-05-31,2.19,22,-1.81,4
37059,Davie County,2021-06-30,2.8,38,-1.23,4.03
37059,Davie County,2021-07-31,4.14,63,-0.42,4.56
